class_id,car_length,car_width,car_height,wheelbase,brand
10103,4693,1839,1683,2700,北汽幻速S6
10106,3850,1510,1910,2400,浪迪
10108,4260,1720,1550,2480,利亚纳
10113,4440,1700,1783,2790,北汽威旺M30
10119,4680,1765,1500,2660,比亚迪E5
10131,4820,1810,1765,2960,比亚迪M6
10133,4835,1855,1720,2730,比亚迪S7
10135,4740,1770,1490,2670,比亚迪秦
10137,4565,1870,1720,2660,比亚迪宋
10138,4815,1875,1725,2720,比亚迪唐
10141,4680,1765,1490,2660,速锐
10142,4642,1850,1642,2880,腾势
10148,4330,1650,1920,2850,成功V2
10157,4935,1845,1805,2900,艾力绅
10158,4530,1820,1680,2620,本田CR-V
10161,4660,1775,1500,2760,杰德
10163,4500,1755,1450,2700,思域
10168,4630,1790,1526,2700,景逸S50
class_id,car_length,car_width,car_height,wheelbase
10191,3775,1665,1530,2450,启辰R30
10193,4307,1730,1564,2600,启辰R50X
10194,4542,1786,1626,2630,启辰T70
10198,4860,1885,1730,2825,东风日产楼兰
10201,4205,1695,1540,2600,日产骐达
10204,4610,1700,1510,2700,轩逸
10204,4610,1760,1495,2700,轩逸
10205,4426,1696,1515,2600,东风日产阳光
10205,4426,1696,1518,2600,东风日产阳光
10208,4500,1680,2000,3050,东风小康C36？C37
10211,4070,1560,1910,2760,东风小康K07S 2017款
10219,4430,1725,1790,2725,？
10227,4625,1825,1600,2720,纳智捷优6
10232,4120,1700,1460,2570,瑞奕
10244,4440,1855,1635,2640,智跑
10247,4180,1745,1580,2540,标致2008
10253,4558,1805,1505,2612,标致308
10255,4680,1815,1525,2710,标致408
10257,4712,1820,1540,2710,东风风神L60
10264,4282,1773,1483,2610,世嘉
10284,4570,1770,1475,2610,东南V5菱致
10290,4085,1560,1960,2610,东南希旺
10307,4700,1760,1880,2725,猎豹6481
10312,4400,1695,1470,2550,锋范
10316,4795,1785,1455,2715,广汽本田雅阁
10320,4649,1859,1686,2705,自由光
10320,4649,1859,1695,2705,自由光
10322,4825,1820,1474,2775,凯美瑞240HG
10323,4630,1775,1485,2700,卡罗拉2017款
10337,4405,1705,1835,2730,星朗
10341,4295,1770,1615,2670,劲炫ASX
10342,4830,1895,1885,2780,广汽三菱帕杰罗
10344,4010,1680,1700,2450,猎豹飞腾
10346,4756,1813,1950,2723,
10347,4663,1875,1700,2700,猎豹CS10
10350,4819,1795,1890,2725,猎豹Q6
10353,4570,1790,1490,2620,传祺GA3
10354,4590,1790,1490,2620,传祺GA3S
10355,4800,1819,1484,2710,传祺GA5
10359,4750,1854,1690,2710,传祺GS5
10366,3662,1540,1495,2332,海马爱尚
10374,4700,1802,1478,2730,海马M6
10377,4480,1860,1715,2619,海马S7
10382,4295,1705,1555,2670,普力马
10382,4295,1705,1570,2670,普力马
10388,3450,1500,1480,2385,御捷330
10412,4005,1725,1644,2500,智尚S30
10416,4510,1758,1460,2580,中华骏捷FSV
10421,4523,1758,1460,2580,中华H330
10422,4708,1788,1475,2700,中华H530
class_id,car_length,car_width,car_height,wheelbase
10423,4200,1790,1600,2570,中华V3
10424,4405,1800,1615,2630,中华V5
10429,3900,1510,1870,2430,海星A9
10430,4515,1750,1760,2725,金杯750
10432,4495,1680,1990,2925,海狮X30L 
10433,5005,1909,1935,2990,华颂7 2015款
10441,4500,1820,1730,2620,圣达菲2012款
10443,4426,1862,1683,2640,华泰圣达菲
10465,4844,1884,1745,2800,豪情SUV
10465,4844,1884,1762,2804,豪情SUV
10466,4905,1830,1495,2805,吉利EC8
10487,3971,1745,1496,2461,全球鹰K17
10506,4320,1710,1515,2490,江淮iEX5
10513,4325,1765,1615,2560,瑞风S3
10514,4475,1840,1670,2645,瑞风S5
10523,4420,1910,1630,2670,陆风X7
10528,4740,1895,1825,2750,江铃牌JX6471T3
10529,4830,1860,1830,2845,五十铃mu-x
10534,4855,1830,1890,2950,大马牌HKL6491
10536,3745,1620,1430,2340,力帆320
10536,3745,1620,1460,2340,力帆320
10537,3775,1620,1420,2340,力帆LF7004JEV
10540,4550,1705,1495,2605,力帆620
10543,4865,1835,1480,2775,力帆820
10550,4350,1730,1800,2720,乐途
10550,4350,1730,1815,2720,乐途
10552,4599,1894,1724,2741,发现神行
10554,4450,1760,1760,2755,开瑞K50
10554,4450,1760,1790,2755,开瑞K50
10562,4652,1825,1483,2700,艾瑞泽7
10571,4552,1750,1483,2605,奇瑞A5
10572,3564,1620,1527,2340,奇瑞QQ 2013款
10580,4393,1682,1424,2468,奇瑞旗云2
10585,4506,1841,1740,2610,瑞虎5
10596,4250,1726,1510,2510,凯翼C3
10612,4030,1620,1900,2700,福家2011款
10625,4446,1767,1495,2610,朗逸2013款
10626,4605,1765,1460,2610,朗逸2013款
10627,4598,1826,1425,2656,凌度2015款
10629,4789,1765,1470,2803,Passat领驭
10635,4473,1706,1469,2603,桑塔纳2013款
10636,4687,1700,1450,2656,桑塔纳志俊
10639,4275,1793,1682,2638,Yeti2014款
10642,4834,1817,1462,2761,速派2013款
10645,3999,1728,1517,2520,MG3
10647,4363,1800,1492,2650,MG5
10648,4653,1827,1467,2705,名爵6
10655,4624,1827,1480,2705,荣威550
10656,4846,1765,1433,2849,荣威CSA7003FCEV
10657,4995,1857,1500,2837,荣威E950
class_id,car_length,car_width,car_height,wheelbase
10658,3569,1551,1540,2305,荣威E50
10663,5100,1847,1729,3047,别克GL8
10671,4382,1809,1461,2662,威朗轿跑
10676,4730,1824,1426,2860,凯迪拉克ATS-L
10681,4248,1776,1647,2555,雪佛兰TRAX
10681,4248,1776,1674,2555,创酷
10689,4855,1854,1474,2737,迈锐宝
10690,3947,1690,1503,2465,赛欧2013款
10694,4597,1736,1462,2640,宝骏630
10695,4685,1785,1715,2750,宝骏730
10695,4685,1785,1745,2750,宝骏730
10698,4305,1680,1750,2720,五菱宏光 2010款
10699,4400,1680,1750,2720,五菱宏光 2015款
10700,4500,1695,1715,2720,五菱牌LZW6455JY
10701,3995,1620,1900,2700,五菱荣光
10704,5090,1780,1925,3205,五菱征程
10774,5012,1855,1485,2945,奥迪A6L
10775,4385,1831,1589,2603,奥迪Q3
10776,4629,1898,1655,2807,奥迪Q5
10777,4376,1735,1446,2513,宝来
10778,4799,1855,1417,2712,一汽大众CC
10783,4544,1760,1461,2578,速腾
10786,4530,1705,1490,2600,花冠
10793,4285,1690,1450,2500,一汽丰田威驰
10803,3820,1595,1880,2500,佳宝V75
10804,4020,1595,1880,2500,佳宝V77
10808,5095,1875,1485,2970,红旗H7
10815,4670,1780,1435,2675,马自达6
10823,4860,1812,1472,2780,奔腾B90
10824,4586,1820,1662,2675,奔腾X80
10824,4586,1820,1695,2675,奔腾X80
10842,4702,1840,1510,2715,DS 5LS
10846,4587,1825,1490,2687,福睿斯
10849,4342,1840,1500,2640,福克斯
10852,4878,1925,1734,2850,福特锐界
10852,4878,1925,1770,2850,福特锐界
10854,4524,1838,1685,2690,翼虎
10858,4461,1795,1474,2700,昂克赛拉
10860,4555,1842,1685,2700,马自达CX-5
10863,3200,1405,1440,2175,
10864,4300,1765,1585,2600,天语锋驭
10867,4115,1730,1545,2500,天语SX4
10868,4470,1730,1555,2500,铃木天语尚悦
10877,3800,1700,1680,2505,欧力威
10878,3995,1735,1710,2505,欧力威X6
10880,4465,1725,1685,2680,长安欧尚
10881,4900,1860,1500,2810,长安睿骋
10883,4620,1820,1515,2660,逸动EV
10884,4425,1815,1510,2660,逸动XT
10891,4650,1850,1695,2700,长安CS75
class_id,car_length,car_width,car_height,wheelbase
10911,4335,1814,1695,2560,哈弗H2
10913,4645,1800,1785,2700,哈弗H5
10914,4600,1860,1720,2680,哈弗H6
10926,4452,1705,1520,2610,长城C30
10927,4650,1775,1455,2700,长城C50
10948,3300,1405,1480,2175,江南T11
10958,2735,1600,1620,1810,众泰E200
10962,3995,1620,1915,2700,众泰V10
10966,4750,1810,1510,2750,众泰Z500
10967,5020,1877,1469,1469,众泰Z700
10968,3559,1620,1476,2360,众泰Z100
10984,4005,1725,1600,2500,智尚S30
11124,4370,1809,1461,2662,威朗
11159,3580,1570,1485,2345,江铃E200
11160,4680,1800,1750,2780,长安CX70
11161,4100,1740,1630,2510,长安CS15EV
11163,2727,1565,1558,1860,欧联C1
11169,4502,1836,1622,2645,雷诺科雷嘉
11171,4572,1825,1482,2670,奇瑞艾瑞泽5
11172,4515,1750,1790,2760,伽途iS7
11175,4510,1835,1610,2680,众泰SR7
11176,4587,1869,1676,2697,观致5
11178,4480,1855,1645,2670,起亚KX5
11187,4426,1862,1683,2640,华泰新圣达菲
11199,4715,1911,1690,2760,宝沃BX7
11203,4305,1780,1655,2600,雅森R7
11204,4750,1800,1640,2800,海马牌HMC6480A5M2
11208,4610,1800,1450,2700,北京现代领动
11209,4654,1816,1680,2670,绅宝X65
11211,4976,2032,1990,2933,途睿欧
11211,4976,2095,1990,2933,福特牌JX6503PB
11214,4660,1810,1790,2750,风行SX6
11215,4633,1840,1530,2700,马自达CX—4
11217,4740,1770,1915,2900,东风风行F600
11220,4903,1860,1436,2775,东风日产西玛
11220,4903,1860,1439,2775,东风日产西玛
11224,2770,1560,1610,1880,全球鹰K12
11231,4051,1575,1780,2600,五菱之光V
11232,4335,1796,1665,2530,凯翼X3
11236,4451,1700,1783,2790,北汽幻速H2V
11238,4582,1820,1609,2780,芝诺60H
11244,4606,1790,1750,2765,凯翼V3
11250,4777,1794,1481,2700,华泰路圣E70，但是轴距不同
11256,4451,1845,1675,2670,北京汽车BJ20
11257,4980,1858,1475,2900,雪铁龙C6
11258,4286,1720,1481,2603,桑塔纳Cross
11259,5074,1893,1463,3009,辉昂
11260,4551,1783,1545,2620,纳智捷锐3
11261,4032,1680,1450,2550,宝骏310
11263,5200,1890,1970,3080,瑞风M4
class_id,car_length,car_width,car_height,wheelbase
11269,4610,1790,1505,2630,骏派CA7003EV
11272,4600,1770,1855,2850,睿行S50
11278,4195,1765,1625,2560,
11279,4724,1796,1725,2760,北汽威旺M50F
11286,4816,1942,1669,2820,冠道
11287,4508,1770,1730,2785,英致
11288,4380,1728,1460,2600,北京现代悦纳
11292,4760,1810,1751,2800,比速M3
11296,4146,1772,1617,2550,哈弗H2s
11297,4554,1855,1689,2700,荣威eRX5
11305,4650,1835,1715,2665,野马T80
11311,4793,1865,1571,2765,启程T90
11311,4793,1865,1586,2765,启辰T90
11311,4793,1865,1592,2765,启辰T90
11312,5083,1879,1450,3061,沃尔沃S90
11313,5039,1989,1773,2980,途昂
11319,3520,1570,1490,2345,
11323,3200,1670,1550,2150,奇瑞EQ1
11324,4671,1835,1460,2715,荣威550L
11328,3775,1685,1570,2390,瑞风S2
11330,3692,1650,1532,2400,电咖EV10
11331,4415,1819,1645,2636,指南者
11333,4720,1840,1665,2780,轩朗
11334,4730,1810,1830,2760,伽途im8
11337,4456,1803,1448,2670,宝马1系
11344,4310,1780,1680,2600,奔驰X40
11347,4748,1933,1697,2850,众泰T700
11352,4652,1843,1688,2725,雪佛兰探界者
11354,4825,1942,1670,2820,本田UR-V
11361,4314,1809,1624,2585,名爵ZS
11368,4140,1700,1485,2550,丰田威驰FS
11377,4749,1931,1655,2950,长城汽车WEY VV7
11394,4295,1760,1588,2620,东风日产劲客
11396,4620,1710,1535,2750,宝骏310
11399,4687,1814,1479,2686,上汽斯柯达明锐
11403,4730,1910,1770,2720,广汽传祺GS7
11407,4135,1750,1560,2490,江淮iEV6
11409,4450,1685,1810,2750,长安欧诺
11420,4195,1780,1622,2580,东风风神AX4
11424,4240,1750,1505,2600,起亚KX
11427,4501,1820,1648,2600,汉腾X5
11433,4338,1830,1645,2630,瑞虎5x
11436,4512,1857,1673,2734,吉利领克
11438,4010,1729,1621,2460,云度π1
11450,4450,1748,1493,2570,奇瑞E3
11466,4620,1810,1485,2672,北汽昌河A6
11484,3775,1685,1570,2390,瑞风S2
11486,4788,1850,1429,2935,捷豹XEL
11491,4530,1730,1490,2620,东风风神AX3
11516,4575,1750,1500,2610,长安牌
11521,4620,1922,1727,2725,中华V6
19017,4818,1822,1450,2845,奔驰E级
19389,4520,1817,1421,2760,宝马三系
